Gene ID	baseMean	log2FoldChange	lfcSE (standard error)	stat	pvalue	padj
Os01g0155800	169.983168	-4.4195746	0.268322475	-16.47113085	5.92E-61	3.80E-59
Os03g0192700	2306.047962	-1.784753259	0.108569681	-16.43878149	1.01E-60	6.47E-59
Os05g0244700	352.4254266	-2.921256233	0.177956958	-16.41552126	1.48E-60	9.47E-59
Os01g0282800	485.3886243	2.609906663	0.159018928	16.41255354	1.56E-60	9.93E-59
Os03g0278000	3140.864357	1.330325681	0.081113264	16.40084026	1.89E-60	1.20E-58
Os07g0665200	5202.786074	-1.520161087	0.092704028	-16.39800467	1.98E-60	1.26E-58
Os10g0160100	476.2173906	2.935851358	0.17921299	16.38191161	2.58E-60	1.63E-58
Os07g0158300	2054.730131	3.02888929	0.18496842	16.37516979	2.88E-60	1.82E-58
Os01g0513900	279.1670395	3.961387557	0.241921404	16.3746882	2.90E-60	1.83E-58
Os08g0242700	9687.395766	1.386419955	0.084710644	16.3665377	3.32E-60	2.09E-58
Os02g0129800	968.7023571	2.88257849	0.176190024	16.3606226	3.65E-60	2.30E-58
Os05g0462700	199.4102891	3.770083655	0.230616201	16.34786992	4.50E-60	2.83E-58
Os03g0807700	838.6294106	2.585422837	0.158564152	16.30521655	9.06E-60	5.67E-58
Os12g0570700	15445.50391	-2.288805037	0.140479838	-16.29276531	1.11E-59	6.94E-58
Os01g0795700	277.9993042	-3.310613222	0.20320839	-16.29171524	1.13E-59	7.05E-58
Os11g0242800	79804.595	2.330468543	0.143060867	16.29004908	1.16E-59	7.23E-58
Os05g0579600	337.5881042	4.068913689	0.250008285	16.2751154	1.48E-59	9.20E-58
Os05g0381400	533.6787457	-3.91253366	0.240482352	-16.26952508	1.62E-59	1.01E-57
Os06g0554800	3932.651296	1.958155881	0.120407643	16.26272075	1.81E-59	1.12E-57
Os07g0604800	1116.982737	1.913814727	0.117692661	16.261122	1.86E-59	1.15E-57
Os01g0923700	6591.60578	-1.453422109	0.08964311	-16.21342798	4.05E-59	2.50E-57
Os10g0508700	6430.587469	2.247667738	0.138670778	16.20866177	4.38E-59	2.69E-57
Os01g0511000	3167.146623	-1.566546773	0.096663066	-16.20625999	4.55E-59	2.79E-57
Os02g0551100	1438.862198	-2.157988336	0.133180842	-16.20344412	4.77E-59	2.92E-57
Os04g0629500	3367.49398	-1.417909231	0.087556512	-16.1942179	5.54E-59	3.38E-57
Os05g0227600	27389.43483	1.281884245	0.079278579	16.16936451	8.29E-59	5.06E-57
Os07g0576000	1325.492568	1.62488757	0.100545935	16.16064901	9.56E-59	5.81E-57
Os09g0532000	1382.88653	-3.350085798	0.207492334	-16.14558829	1.22E-58	7.40E-57
Os06g0285400	206.5640551	3.464070868	0.214554735	16.14539466	1.22E-58	7.41E-57
Os08g0395700	4601.811277	-2.858154516	0.177075444	-16.14088581	1.32E-58	7.96E-57
Os02g0274000	960.4513544	-1.601601992	0.099316487	-16.12624498	1.67E-58	1.01E-56
Os05g0499300	754.2570084	2.561655772	0.158857733	16.12547105	1.69E-58	1.02E-56
Os03g0705800	549.2827547	2.801187781	0.173816259	16.11579838	1.98E-58	1.19E-56
Os09g0513100	1441.135459	-2.415703002	0.149950417	-16.11001191	2.17E-58	1.30E-56
Os11g0444700	8092.511445	-1.785723556	0.110850827	-16.10924889	2.20E-58	1.31E-56
Os04g0564700	1225.506709	-1.882255314	0.116862377	-16.10659792	2.29E-58	1.37E-56
Os06g0127800	287.0994318	3.151683877	0.195754107	16.10021839	2.54E-58	1.52E-56
Os01g0279100	16119.18119	1.987277636	0.123668885	16.06934223	4.19E-58	2.49E-56
Os03g0757200	230.1377969	4.421390298	0.275149832	16.06902781	4.21E-58	2.50E-56
Os08g0117900	694.0640223	-1.78777907	0.111306013	-16.06183728	4.72E-58	2.80E-56
Os03g0153900	854.9906282	-3.373735638	0.210176647	-16.0519053	5.54E-58	3.28E-56
Os01g0664500	1823.746269	-1.746722616	0.108832218	-16.04968316	5.75E-58	3.39E-56
Os05g0516600	5698.526686	-1.40237258	0.087414956	-16.0427076	6.43E-58	3.79E-56
Os08g0327400	903.1314369	2.150574604	0.134264296	16.017472	9.65E-58	5.67E-56
Os01g0783200	2034.237222	-1.686156766	0.105337539	-16.00717832	1.14E-57	6.68E-56
Os06g0132400	973.3406144	3.260926184	0.20374053	16.00528956	1.17E-57	6.87E-56
Os05g0110300	1190.982018	1.94916526	0.121859815	15.99514377	1.38E-57	8.07E-56
Os05g0556400	1159.649928	1.925621601	0.12040331	15.99309517	1.43E-57	8.33E-56
Os11g0521500	2751.67396	2.194215936	0.137232091	15.98908763	1.52E-57	8.86E-56
Os12g0468600	3109.259466	-1.479205186	0.092584244	-15.97685655	1.85E-57	1.08E-55
Os03g0231600	945.0840887	-2.483175514	0.155561871	-15.96262314	2.33E-57	1.35E-55
Os02g0699700	1436.162502	1.628303852	0.102016998	15.96110343	2.38E-57	1.38E-55
Os06g0332800	2407.575344	2.305231121	0.14457756	15.94459837	3.11E-57	1.79E-55
Os03g0703100	960.2562865	2.265254099	0.142156034	15.93498375	3.62E-57	2.09E-55
Os01g0268300	1247.903705	1.70433615	0.106959346	15.93442944	3.66E-57	2.10E-55
Os03g0775000	265.249817	2.747168381	0.172455601	15.9297139	3.94E-57	2.26E-55
Os01g0830000	2425.016286	-1.468866991	0.092374862	-15.90115492	6.22E-57	3.56E-55
Os02g0141300	4426.902644	-1.467430822	0.092288835	-15.90041553	6.29E-57	3.60E-55
Os01g0195400	1163.134236	1.756004073	0.110450384	15.8985782	6.48E-57	3.70E-55
Os09g0572400	431.8397202	-2.619505135	0.164785703	-15.89643446	6.71E-57	3.82E-55
Os06g0553100	174.039378	-4.352977313	0.273837496	-15.89620625	6.73E-57	3.83E-55
Os11g0143300	652.5046565	2.733253023	0.171975332	15.89328536	7.05E-57	4.00E-55
Os02g0264800	582.9511556	2.662195335	0.167714771	15.87335043	9.69E-57	5.49E-55
Os03g0149300	1040.032668	1.637245844	0.103203225	15.86428956	1.12E-56	6.33E-55
Os09g0418000	599.9354154	-2.179772582	0.137456369	-15.8579235	1.24E-56	6.99E-55
Os03g0170500	1392.993698	2.090769651	0.131858838	15.85612068	1.28E-56	7.18E-55
Os01g0559000	1188.635884	-1.758851469	0.110950887	-15.8525228	1.35E-56	7.59E-55
Os02g0129900	738.2325631	2.158239447	0.136164332	15.85025546	1.40E-56	7.86E-55
Os04g0607500	1880.549064	-2.808964037	0.177223499	-15.84983967	1.41E-56	7.89E-55
Os10g0548100	174.0650643	-5.47844321	0.345661237	-15.84916854	1.42E-56	7.96E-55
Os02g0230250	292.7155271	3.312940824	0.209064687	15.84648689	1.49E-56	8.30E-55
Os02g0232400	8224.011491	-1.374330079	0.08673228	-15.84565832	1.51E-56	8.39E-55
Os05g0135500	2428.554005	1.632327259	0.103067401	15.83747371	1.72E-56	9.54E-55
Os08g0262500	913.7317253	2.128466502	0.134454971	15.83032952	1.92E-56	1.07E-54
Os07g0658600	1209.166147	2.412473267	0.152421553	15.82763864	2.01E-56	1.11E-54
Os08g0553800	1886.826117	2.557445021	0.16160946	15.82484722	2.10E-56	1.16E-54
Os06g0168600	543.408639	2.26165146	0.142975002	15.81850973	2.32E-56	1.28E-54
Os01g0849000	1386.824523	-2.088530608	0.132050122	-15.81619593	2.41E-56	1.33E-54
Os05g0525900	4872.817053	-1.843346921	0.116564586	-15.81395325	2.49E-56	1.37E-54
Os12g0529800	241.7815302	2.850986123	0.180307475	15.81180219	2.58E-56	1.42E-54
Os03g0638400	315.1637192	-4.326328156	0.273739666	-15.80453508	2.90E-56	1.59E-54
Os03g0390200	1556.764796	-1.732922983	0.109657588	-15.80303763	2.96E-56	1.62E-54
Os01g0205900	307.4053818	3.06731746	0.194421455	15.77664077	4.51E-56	2.46E-54
Os03g0785200	1264.617057	2.174847621	0.137928943	15.76788436	5.18E-56	2.82E-54
Os05g0151200	218.6637355	-5.708923697	0.362065297	-15.7676633	5.19E-56	2.82E-54
Os07g0408500	191.441517	4.304582396	0.273053655	15.76460275	5.45E-56	2.96E-54
Os02g0168800	1888.506056	1.934528112	0.122736508	15.76163562	5.71E-56	3.10E-54
Os10g0498900	176.4442554	4.101716861	0.260732933	15.73148746	9.20E-56	4.98E-54
Os05g0545000	8572.959945	-1.466661306	0.093261248	-15.72637451	9.98E-56	5.38E-54
Os07g0182900	398.9851824	2.512445431	0.159878687	15.71469892	1.20E-55	6.46E-54
Os12g0168100	230.5267107	-6.890080602	0.438538239	-15.71147051	1.26E-55	6.79E-54
Os02g0761400	4127.560642	-1.484424031	0.094533661	-15.70259751	1.45E-55	7.79E-54
